time,position_x,position_y,position_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w,joint_LW_J_Pitch,joint_RW_J_Pitch,joint_LW_J_Flap,joint_RW_J_Flap
0.001,0,0,10,0.707108,0,0,0.707105,-8.02995e-20,1.52806e-19,8.10443e-20,6.81746e-19
0.002,0,0,10,0.707108,0,0,0.707105,-0.0175,0.0472197,0.0175,-0.0472197
0.003,0,0,10,0.707108,0,0,0.707105,-0.035,0.0931872,0.035,-0.0931763
0.004,0,0,10,0.707108,0,0,0.707105,-0.0525,0.137905,0.0525,-0.137884
0.005,0,0,10,0.707108,0,0,0.707105,-0.07,0.181376,0.07,-0.181352
0.006,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.0875,0.223595,0.0875,-0.223568
0.007,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.105,0.264562,0.105,-0.264529
0.008,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.1225,0.304279,0.1225,-0.304245
0.009,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.14,0.342747,0.14,-0.34271
0.01,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.1575,0.379965,0.1575,-0.379919
0.011,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.175,0.415939,0.175,-0.415881
0.012,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.1925,0.450667,0.1925,-0.450598
0.013,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.21,0.484152,0.21,-0.484066
0.014,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.2275,0.516401,0.2275,-0.516294
0.015,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.245,0.547411,0.245,-0.547286
0.016,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.2625,0.577187,0.2625,-0.577039
0.017,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.28,0.605738,0.28,-0.605563
0.018,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.2975,0.633062,0.2975,-0.632862
0.019,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.315,0.659167,0.315,-0.658938
0.02,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.3325,0.684061,0.3325,-0.6838
0.021,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.35,0.707744,0.35,-0.707455
0.022,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.3675,0.730226,0.3675,-0.729911
0.023,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.385,0.751517,0.385,-0.751175
0.024,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.4025,0.771619,0.4025,-0.771255
0.025,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.42,0.790549,0.42,-0.790162
0.026,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.4375,0.808313,0.4375,-0.807904
0.027,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.455,0.824922,0.455,-0.824491
0.028,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.4725,0.840391,0.4725,-0.839936
0.029,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.49,0.854727,0.49,-0.854252
0.03,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.5075,0.867946,0.5075,-0.867452
0.031,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.525,0.880062,0.525,-0.879549
0.032,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.5425,0.891088,0.5425,-0.890557
0.033,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.56,0.901041,0.56,-0.900492
0.034,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.5775,0.909935,0.5775,-0.909371
0.035,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.595,0.917788,0.595,-0.917211
0.036,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.6125,0.924618,0.6125,-0.924026
0.037,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.63,0.930444,0.63,-0.929837
0.038,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.6475,0.935279,0.6475,-0.934661
0.039,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.665,0.939149,0.665,-0.938518
0.04,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.6825,0.94207,0.6825,-0.941428
0.041,0,0,10,0.707108,1.85724e-17,-1.85723e-17,0.707105,-0.7,0.944065,0.7,-0.943411
