time,position_x,position_y,position_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w,joint_LW_J_Pitch,joint_RW_J_Pitch,joint_LW_J_Flap,joint_RW_J_Flap
0.05,1.16344e-35,-2.23941e-35,299.992,-3.67732e-18,-6.67814e-19,-5.85975e-36,1,1.80875e-27,2.55224e-28,-3.1234e-27,-1.2318e-20
0.1,2.16559e-05,-0.00183954,299.958,-0.00130907,0.164142,-0.000178267,0.986436,0.534178,0.559852,0.537494,0.555125
0.15,0.000163351,-0.030293,299.898,-0.00193203,0.591637,-0.00117452,0.806201,1.5659,1.92658,1.57082,1.92358
0.2,2.8729e-05,-0.0490605,299.814,-0.000566641,0.967856,-0.000542243,0.251502,3.09366,4.01677,3.09217,4.019
0.25,-2.28895e-05,-0.000240753,299.707,0.00352047,-0.732398,-0.00303666,0.680861,4.76905,6.73166,4.75925,6.72372
0.3,0.000324677,-0.0448199,299.568,-0.00357729,0.0284676,-0.000882548,0.999588,6.66536,8.64974,6.67057,8.62304
0.35,0.00113479,-0.0523073,299.406,-0.00618375,0.248907,-0.00360186,0.968501,7.17617,9.04209,7.19282,9.02358
0.4,0.00179505,-0.0357122,299.217,-0.0120387,0.0866836,-0.0044938,0.996153,6.65736,8.08303,6.68789,8.05664
0.45,0.000804886,-0.00412161,299.006,-0.0123805,-0.691892,0.00557896,0.721873,4.77218,5.82038,4.7935,5.80486
0.5,0.000646185,-0.0375503,298.852,0.00489604,0.992654,-0.00808597,-0.12062,2.7839,3.74944,2.79717,3.72779
0.55,0.00133723,-0.0531347,298.597,-0.00702662,0.579818,-0.010053,0.814654,0.849757,2.15647,0.869766,2.1226
0.6,0.000830233,-0.0329149,298.318,-0.00882551,-0.0801478,-0.00315938,0.996739,-0.173648,1.85093,-0.163554,1.82369
0.65,0.000899646,-0.0542483,298.013,-0.00633748,0.189212,-0.00519377,0.981902,0.815205,3.06376,0.821282,3.03229
0.7,0.00126053,-0.0377772,297.683,-0.00179101,0.635819,-0.0076246,0.771798,2.12616,5.11098,2.12859,5.08668
0.75,0.000823359,-0.0122112,297.33,0.0027327,0.997263,0.00321433,-0.0738171,3.8658,7.57968,3.84273,7.5784
0.8,4.43789e-05,-0.0571195,296.95,0.00458868,-0.475867,-0.00524479,0.87949,5.87657,8.9971,5.84241,9.0234
0.85,6.65436e-05,-0.0601682,296.54,-0.000871127,0.00618982,-0.00459802,0.99997,6.8035,9.14564,6.78633,9.15668
0.9,0.000333601,-0.0479178,296.108,0.000881617,-0.162737,-0.00424078,0.98666,5.94257,7.99578,5.92024,8.02882
0.95,0.00151899,-0.00965641,295.648,-0.00191162,-0.810294,-0.00321488,0.586012,4.2811,5.70534,4.27441,5.71268
1,0.00351737,-0.0550978,295.158,0.000325915,0.846031,-0.0178856,0.532833,2.18033,3.78345,2.22475,3.73254
1.05,0.00466237,-0.0592823,294.64,-0.0334574,0.0653224,-0.0149927,0.99719,-0.0707438,2.26257,0.0274461,2.1893
1.1,0.00221174,-0.0520325,294.11,-0.0242835,-0.345046,-0.00314799,0.938266,-0.733702,2.12893,-0.667332,2.13276
1.15,0.002915,-0.0672136,293.551,-0.0144601,0.00770094,-0.0100635,0.999815,0.335133,3.40598,0.388858,3.40404
1.2,0.00405211,-0.0258543,292.967,-0.00690519,0.574911,-0.0172357,0.818005,1.80453,5.50978,1.83496,5.50274
1.25,0.000726895,-0.0423638,292.364,0.00494742,0.988859,0.00303378,-0.148744,3.6994,7.87787,3.67279,7.92755
1.3,-0.00350389,-0.0704411,291.734,0.0147522,-0.306459,-0.00206355,0.951767,6.25095,9.80874,6.17052,9.8669
1.35,-0.00333806,-0.047256,291.291,0.00911085,0.276253,0.00287224,0.961037,8.15164,11.5344,8.10495,11.5287
1.4,-0.00131891,-0.0278484,290.609,0.00556556,0.725714,0.00555643,0.687952,8.86671,11.6324,8.84351,11.609
1.45,0.000467248,-0.0525181,289.902,0.00370317,0.710591,-0.000367768,0.703596,8.56596,10.4725,8.55914,10.4403
1.5,0.00162288,-0.0755027,289.17,-0.000186369,0.335527,-0.00318089,0.942025,7.29839,8.32825,7.30515,8.30377
1.55,0.00138818,-0.0269717,288.414,-0.00124936,-0.57626,-0.00137653,0.817264,4.96015,5.81452,4.96921,5.7958
1.6,0.00160532,-0.0528424,287.647,0.00206553,0.994067,-0.000909611,-0.108751,3.49694,4.74158,3.51928,4.70551
1.65,0.00491421,-0.0642652,286.836,0.00084905,0.856938,-0.0145657,0.515212,2.60857,4.60157,2.66657,4.5401
1.7,0.00759264,-0.0451511,286.001,-0.00143246,0.835193,-0.0266404,0.54931,2.82398,5.97135,2.89991,5.92538
1.75,0.00519224,-0.0638761,285.144,0.00507335,0.990538,-0.0126787,-0.136559,4.15543,8.19337,4.23268,8.22446
1.8,0.0112277,-0.0950946,284.257,-0.0258026,-0.536272,0.00327403,0.843644,6.31726,10.1647,6.44948,10.1311
1.85,0.0101867,-0.0576344,283.354,-0.0212669,0.205,-0.0147126,0.97842,8.00092,11.8028,8.06282,11.8664
1.9,0.000629329,-0.0544028,282.425,-0.0150988,0.528387,-0.00157808,0.848868,8.59668,11.6725,8.58446,11.8194
1.95,-0.007252,-0.0843016,281.489,-0.0150677,0.39914,0.0138383,0.916662,8.27113,10.4529,8.20968,10.6157
2,-0.0187608,-0.102286,280.551,0.0144323,-0.0999922,0.0368184,0.994202,6.85479,8.19651,6.68125,8.46283
2.05,-0.0170112,-0.0590777,279.546,-0.0622751,0.889518,-0.0100027,-0.452526,4.61324,5.84107,4.50374,5.95979
2.1,0.00355205,-0.0774564,278.491,-0.0141881,0.92582,-0.0195931,0.37719,3.12004,5.14353,3.19779,5.04793
2.15,0.0276691,-0.0902121,277.418,-0.0165248,0.611132,-0.0711767,0.788149,2.28505,5.11821,2.54291,4.94649
2.2,0.0417028,-0.0808536,276.324,-0.00224917,0.712701,-0.112473,0.692388,2.55121,6.61911,2.88647,6.51454
2.25,0.0406068,-0.12875,275.206,0.0487297,0.991642,-0.0577069,-0.104602,4.06441,8.77558,4.52069,8.7986
2.3,0.0841886,-0.14747,274.069,-0.152527,-0.524229,-0.0604427,0.835623,6.17254,10.6444,6.91531,10.4687
2.35,0.0655087,-0.103833,272.927,-0.0775583,0.146786,-0.154417,0.973958,7.9103,11.9839,8.34325,12.1191
2.4,0.0412046,-0.0978024,272.141,-0.0455153,0.33702,-0.137282,0.930322,8.4706,11.4832,8.65034,11.8128
2.45,0.0084161,-0.11815,270.942,-0.0594753,0.209911,-0.0861476,0.9721,8.05626,10.1393,8.09128,10.523
2.5,-0.0198246,-0.134775,269.717,-0.0616658,-0.312651,-0.020895,0.947634,6.42985,7.85371,6.2617,8.26569
2.55,-0.0198208,-0.0903038,268.463,0.0375195,0.965338,-0.0432773,-0.254641,4.34845,5.59208,4.21051,5.75992
2.6,-0.0100421,-0.112929,267.176,0.0271059,0.773184,-0.103532,0.625086,2.88465,4.95161,2.8048,4.97253
2.65,-0.0136592,-0.122285,265.869,-0.0177744,0.344713,-0.116411,0.931292,2.22818,4.97717,2.12353,4.97272
