time,position_x,position_y,position_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w,joint_LW_J_Pitch,joint_RW_J_Pitch,joint_LW_J_Flap,joint_RW_J_Flap
0.05,0,0,0,0,0,0,1,1.80875e-27,2.55224e-28,-3.1234e-27,-1.2318e-20
0.1,0,0,0,0,0,0,1,0.433725,0.446179,0.436564,0.4418
0.15,0,0,0,0,0,0,1,1.45775,1.77558,1.46271,1.77236
0.2,0,0,0,0,0,0,1,2.89287,3.75979,2.89301,3.7604
0.25,0,0,0,0,0,0,1,4.60568,6.44374,4.59562,6.43851
0.3,0,0,0,0,0,0,1,6.55644,8.55788,6.56023,8.53008
0.35,0,0,0,0,0,0,1,7.15044,9.03001,7.16603,9.01114
0.4,0,0,0,0,0,0,1,6.8259,8.30283,6.85452,8.2789
0.45,0,0,0,0,0,0,1,4.96943,6.10353,4.99358,6.08563
0.5,0,0,0,0,0,0,1,3.0534,3.97293,3.0652,3.95546
0.55,0,0,0,0,0,0,1,1.09667,2.32927,1.11568,2.29668
0.6,0,0,0,0,0,0,1,-0.181412,1.8082,-0.171422,1.78155
0.65,0,0,0,0,0,0,1,0.719103,2.94362,0.724628,2.91211
0.7,0,0,0,0,0,0,1,2.00404,4.8984,2.00777,4.85563
0.75,0,0,0,0,0,0,1,3.67764,7.35087,3.65653,7.33824
0.8,0,0,0,0,0,0,1,5.72572,9.00647,5.68293,8.98698
0.85,0,0,0,0,0,0,1,6.80227,9.20908,6.77183,9.16492
0.9,0,0,0,0,0,0,1,6.21807,8.28522,6.18044,8.27438
0.95,0,0,0,0,0,0,1,4.51017,6.03831,4.4904,6.01238
1,0,0,0,0,0,0,1,2.45595,4.0457,2.49017,3.93546
1.05,0,0,0,0,0,0,1,0.286556,2.49271,0.391796,2.35301
1.1,0,0,0,0,0,0,1,-0.809437,2.03272,-0.731049,1.98355
1.15,0,0,0,0,0,0,1,0.110935,3.21456,0.174285,3.16531
1.2,0,0,0,0,0,0,1,1.58997,5.18152,1.63517,5.13171
1.25,0,0,0,0,0,0,1,3.34994,7.55103,3.33251,7.57387
1.3,0,0,0,0,0,0,1,5.34247,8.89862,5.26379,8.94119
1.35,0,0,0,0,0,0,1,6.54081,8.98757,6.45612,9.00172
1.4,0,0,0,0,0,0,1,5.75057,7.91744,5.64506,7.98773
1.45,0,0,0,0,0,0,1,4.16449,5.67827,4.11947,5.67237
1.5,0,0,0,0,0,0,1,2.01441,3.77576,2.07219,3.65081
1.55,0,0,0,0,0,0,1,-0.355968,2.24938,-0.210476,2.11683
1.6,0,0,0,0,0,0,1,-1.1147,1.97845,-1.01164,1.95733
1.65,0,0,0,0,0,0,1,-0.314072,3.25022,-0.214679,3.20806
1.7,0,0,0,0,0,0,1,1.36233,5.28855,1.44998,5.22291
1.75,0,0,0,0,0,0,1,3.18475,7.6414,3.17155,7.69134
1.8,0,0,0,0,0,0,1,5.12129,8.8328,4.99802,8.9356
1.85,0,0,0,0,0,0,1,6.32708,8.89346,6.16151,8.97217
1.9,0,0,0,0,0,0,1,5.45566,7.66366,5.27106,7.79781
1.95,0,0,0,0,0,0,1,3.89062,5.44083,3.82474,5.4345
2,0,0,0,0,0,0,1,1.69984,3.62107,1.78309,3.44891
2.05,0,0,0,0,0,0,1,-0.739455,2.08134,-0.562148,1.94299
