time,position_x,position_y,position_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w,joint_LW_J_Pitch,joint_RW_J_Pitch,joint_LW_J_Flap,joint_RW_J_Flap
0.05,0,0,0,0,0,0,1,0.0196368,1.0014e-12,-0.0198387,-9.74355e-13
0.1,0,0,0,0,0,0,1,0.0767375,2.10556e-12,-0.0775263,-2.05255e-12
0.15,0,0,0,0,0,0,1,0.14072,1.08599,-0.197835,1.0555
0.2,0,0,0,0,0,0,1,0.520044,3.38611,-0.0779726,3.32605
0.25,0,0,0,0,0,0,1,0.938889,5.57846,0.0286474,5.54811
0.3,0,0,0,0,0,0,1,1.27188,7.3647,-0.0127769,7.31476
0.35,0,0,0,0,0,0,1,1.71812,7.64944,0.0332138,7.59094
0.4,0,0,0,0,0,0,1,2.13746,6.57311,0.0389431,6.47707
0.45,0,0,0,0,0,0,1,2.47728,4.72855,-0.0522611,4.59488
0.5,0,0,0,0,0,0,1,2.39455,2.1577,-0.551723,2.00751
0.55,0,0,0,0,0,0,1,2.40713,0.698472,-0.91597,0.538746
0.6,0,0,0,0,0,0,1,2.39406,0.363851,-1.30423,0.227088
0.65,0,0,0,0,0,0,1,2.32076,1.03077,-1.72282,0.920512
0.7,0,0,0,0,0,0,1,2.34514,2.35005,-1.99394,2.24622
0.75,0,0,0,0,0,0,1,2.55601,4.58567,-2.00517,4.48385
0.8,0,0,0,0,0,0,1,2.53648,7.18742,-2.17879,7.09627
0.85,0,0,0,0,0,0,1,2.6807,8.41202,-2.13731,8.3154
0.9,0,0,0,0,0,0,1,2.79847,8.67821,-2.05476,8.57303
0.95,0,0,0,0,0,0,1,2.77646,7.33338,-2.04205,7.233
1,0,0,0,0,0,0,1,2.77417,4.98701,-1.97051,4.9147
1.05,0,0,0,0,0,0,1,2.38766,2.8965,-2.23483,2.81455
1.1,0,0,0,0,0,0,1,1.97255,1.15655,-2.45974,1.06928
1.15,0,0,0,0,0,0,1,1.62938,1.19754,-2.58149,1.10879
1.2,0,0,0,0,0,0,1,1.39113,2.42639,-2.57823,2.3201
1.25,0,0,0,0,0,0,1,1.37816,4.75399,-2.31499,4.63377
1.3,0,0,0,0,0,0,1,1.18875,7.28905,-2.22744,7.19159
1.35,0,0,0,0,0,0,1,1.20762,8.22259,-1.95041,8.17318
1.4,0,0,0,0,0,0,1,1.24101,8.31414,-1.66168,8.26366
1.45,0,0,0,0,0,0,1,1.24302,6.70045,-1.42102,6.64615
1.5,0,0,0,0,0,0,1,1.21803,4.41773,-1.24765,4.37812
1.55,0,0,0,0,0,0,1,0.874163,2.36877,-1.42533,2.32867
1.6,0,0,0,0,0,0,1,0.65542,0.78171,-1.51378,0.744176
1.65,0,0,0,0,0,0,1,0.493765,1.1412,-1.59106,1.10148
1.7,0,0,0,0,0,0,1,0.487743,2.46884,-1.55869,2.42003
1.75,0,0,0,0,0,0,1,0.725335,4.84331,-1.31479,4.80184
1.8,0,0,0,0,0,0,1,0.793811,7.30479,-1.28206,7.26015
1.85,0,0,0,0,0,0,1,1.0554,8.12375,-1.09914,8.06657
1.9,0,0,0,0,0,0,1,1.32213,8.08872,-0.943772,8.0455
1.95,0,0,0,0,0,0,1,1.57364,6.33601,-0.831338,6.3099
2,0,0,0,0,0,0,1,1.69757,4.09404,-0.875048,4.06153
2.05,0,0,0,0,0,0,1,1.52041,2.07854,-1.23141,2.05308
2.1,0,0,0,0,0,0,1,1.46589,0.620782,-1.46958,0.59828
2.15,0,0,0,0,0,0,1,1.40718,1.14473,-1.7184,1.12498
2.2,0,0,0,0,0,0,1,1.48359,2.55645,-1.82208,2.53404
2.25,0,0,0,0,0,0,1,1.75317,4.98644,-1.71396,4.96789
